uid,歯科医院名,医院HPのリンク,記事地域名１,表側矯正,裏側矯正,インビザライン,キレイライン矯正,種類が不明な場合,種類①,種類①の費用,種類②,種類②の費用,種類③,種類③の費用,種類④,種類④の費用,キャッチコピー（15~30字）,見出し1（10〜30字）,文章1（100〜150字）,見出し2（10〜30字）,文章2（100〜150字）,見出し3（10〜30字）,文章3（100〜150字）,メモ,口コミ①（30~70字）,口コミ①の引用元,口コミ①の引用リンク,口コミ②（30~70字）,口コミ②の引用元,口コミ②の引用リンク,1枚目のリンク,2枚目のリンク,3枚目のリンク,4枚目のリンク,院長写真のリンク,院長名,院長紹介文,院長紹介文URL,現金,クレジットカード,デンタルローン,銀聯,電子マネー,銀行振込,最寄り駅 最寄り駅からのアクセス,駐車場の有無・駐車可能台数,午前診療時間,午後診療時間,月曜午前,月曜午後,火曜午前,火曜午後,水曜午前,水曜午後,木曜午前,木曜午後,金曜午前,金曜午後,土曜午前,土曜午後,日曜午前,日曜午後,祝日午前,祝日午後,補足の文章,PlaceID,備考,CTA,clinic_name_romaji,doctor_name_romaji,shortcode,サブディレクトリ契約中,送客契約中,KL提携
0,神田歯科医院,http://kandashika.jp/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅 徒歩3分,無料駐車場20台,9:00～13:00,14:30～18:30,●,●,●,●,●,●,ー,ー,●,●,●,●,ー,ー,ー,ー,,ChIJW2CIq4kWUzURdX1YO2-Hq9o,,,kandashikaiin-724,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='12']
<!-- /wp:shortcode -->",,,
0,神原歯科,https://kanbara-dc.com/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅 徒歩6分,記載なし,9:00～12:30,14:00～18:30,●,●,●,●,●,●,●,★,●,●,●,●,ー,ー,ー,ー,★：14:00~18:00,ChIJR-TRqY4WUzURbrJsa1uXqdA,,,kamiharashika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='13']
<!-- /wp:shortcode -->",,,
1,あずま歯科クリニック,http://www.azumashika.jp/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羽ノ浦駅 車4分,記載なし,9:00～13:00,14:00～18:30,●,●,●,●,★,ー,●,●,●,●,●,●,ー,ー,ー,ー,★：9:00～12:00,ChIJ8fkmAwAUUzUR7kmR5o9MSFs,,,azuma-shika-clinic,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='14']
<!-- /wp:shortcode -->",,,
1,たにむら歯科矯正歯科,https://www.tanimuradental.net/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅 車11分,駐車場有り,9:30～13:00,14:30～19:00,●,●,●,●,ー,ー,●,●,●,●,●,●,ー,ー,ー,ー,※但し、祝日のある週の水曜日は診療します。,ChIJdbHTlOUVUzURfkp7pPVX8Us,,,tanimurashikakyouseishika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='15']
<!-- /wp:shortcode -->",,,
0,岡本歯科,https://okamotodent.jp/,阿南,"330,000～770,000",,"1,031,800",,,小児矯正,"330,000～770,000",小児矯正マウスピース,"154,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅,駐車場有り,9:00～13:00,14:30～19:00,●,●,●,●,●,●,ー,ー,●,●,●,★,ー,ー,ー,ー,★：14:00～17:00,ChIJl1sbh7YWUzURmQ_MYvhcZ6Y,,,okamotoshika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='16']
<!-- /wp:shortcode -->",,,
1,はまぐち歯科医院,http://hamaguchidc.jp/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅 徒歩10分,記載なし,9:00～13:00,14:30～18:30,●,●,●,●,●,★,ー,ー,●,●,●,●,ー,ー,ー,ー,★：15:00～18:30,ChIJCfr-HGQWUzURf5X_QnG-ouY,,,hamaguchishikaiin,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='17']
<!-- /wp:shortcode -->",,,
1,木本歯科医院,https://kimoto-dent.p-kit.com/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿南駅,記載なし,9:00～12:00,14:30～18:00,●,●,●,●,●,●,●,★,●,●,●,☆,ー,ー,ー,ー,★：14:00～16:00、☆：13:40～15:30,ChIJ63F2QHgWUzURqMM1qAfWZ9I,,,kimotoshikaiin,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='18']
<!-- /wp:shortcode -->",,,
1,ゆう歯科クリニック,http://youdc-kyowa.jp/,阿南,,,,,,アソアライナー,"615,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載,記載,9:00～13:00,14:30～19:00,●,●,●,●,●,●,●,●,●,●,●,★,ー,ー,ー,ー,★：14:30～18:00,ChIJ7_LovccVUzURehcBTexetT0,,,yuu-shika-clinic-868,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='19']
<!-- /wp:shortcode -->",,,
0,HEAL矯正歯科クリニック,https://heal-ortho.jp/,阿南,,,,,"930,000",,,,,,,,,,,,,,,,,待合室は患者同士がなるべく鉢合わせにならないように配慮されていたり、静かで清潔感があり、病院だけどなぜか落ち着く。,Googleマップ,https://g.co/kgs/QrhUf1,,,,https://heal-ortho.jp/_p/acre/16782/images/pc/13989f45.jpg,https://heal-ortho.jp/_p/acre/16782/images/pc/8f5ba3ef.jpg,https://heal-ortho.jp/_p/acre/16782/images/pc/fd6df43d.jpg,https://heal-ortho.jp/_p/acre/16782/images/pc/a17ec0dc.jpg,https://heal-ortho.jp/_p/acre/16782/images/pc/b7c3c196.jpg,木村雅一,皆さま、こんにちは。「HEAL矯正歯科クリニック」の院長、木村 雅一（きむら まさかず）と申します。私はこれまでフリーランスの矯正専門の歯科医師として、安城、知立、豊田、岡崎といった西三河地方の一般歯科医院で矯正治療に従事してまいりました。そんな中、「一般歯科医院の数に比べて、矯正治療が受けられる歯科医院が少ない」というお話を、お子さまを持つ保護者の方から伺うことがよくありました。小学生からの歯科矯正治療が多く行われるようになった現在において、気軽に矯正治療を受けられないというのは、お子さまにとっても保護者にとっても負担が大きいものです。また治療を受けるのをあきらめてしまうことにもつながる、残念な状況だと思います。そこで私はこの安城の地に、子供から大人までのしっかりとした歯科矯正治療が可能な、矯正歯科専門の歯科医院を開業しようと志したのです。「HEAL矯正歯科クリニック」は、地域の皆さまが歯並びについて、何でも気軽に相談できる矯正歯科医院を目指しています。お子さまの歯並びはもちろん、ご自身の矯正治療をお考えの方は、どんな些細なことでもかまいません。遠慮なく当院にご相談ください。,https://heal-ortho.jp/730481744,あり,あり,あり,不明,不明,不明,安城駅 徒歩8分,無料駐車場5台,11:00～13:30,15:00～20:00	,●,●,●,●,●,●,ー,ー,●,●,★,※,★,※,ー,ー,★：10:00～13:00、※14:00～18:00,ChIJ9VWV26OZBGARi-UqNY0IWFc,,,healkyousei-shika-clinic,kimuramasaichi,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='20']
<!-- /wp:shortcode -->",,,
0,いぬづか矯正歯科,http://www.inuzuka-ortho.com/,安城,"730,000～","730,000～",,,,小児矯正,"250,000～",,,,,,,,,,,,,,,とても親切にご説明をいただける先生でした。今後も通い続けます！,Googleマップ,https://g.co/kgs/R53j5s,細かい配慮で今後の通院や治療や機器への不安も一切なくなりました。優しい先生なので歯医者が怖い方でも通いやすい歯医者ですよ！,EPARK歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/2333101059/tab/7/,http://www.inuzuka-ortho.com/asset/clinic_img04.jpg,http://www.inuzuka-ortho.com/asset/clinic_img06.jpg,http://www.inuzuka-ortho.com/asset/clinic_img05.jpg,http://www.inuzuka-ortho.com/asset/clinic_img02.jpg,http://www.inuzuka-ortho.com/asset/clinic_img01.jpg,犬束信一,"矯正治療をされる方のほとんどが「歯が綺麗に並んで見た目が美しくなること」を望まれます。もちろん見た目の美しさは大切ですが、そのような審美的利点だけでなく、「噛む」「飲み込む」「発音する」などの機能が十分に発揮できることを同時に追求してこそ真の矯正治療と言えます。見た目の美しさと機能性とは、選択するものではなくどちらも必須科目なのです。
当院では、患者さまがいつまでも自分の歯で美味しいものが食べられるような健やかな歯と噛み合わせを手に入れられるよう、きめ細かく丁寧な矯正治療を行うことに全力を尽くしています。",http://www.inuzuka-ortho.com/clinic/,あり,不明,不明,不明,不明,不明,新安城駅 徒歩8分,無料駐車場あり,10:00～12:00,14:00～19:00,●,●,●,●,●,●,━,━,●,●,●,●,━,━,━,━,,ChIJPcQnbUiZBGARxHTE5CjuGW0,,,inuzukakyouseishika,inusokushin'ichi,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='21']
<!-- /wp:shortcode -->",,,
1,祥南歯科・矯正歯科医院,https://shonan-kyosei.com/,安城,"858,000～","1,232,000～","748,000～",,,小児矯正,"528,000～",,,,,,,,,,,,,,,院長先生はとても優しく、不安な事があった時なども相談しやすかったです。これからもよろしくお願いします。,Googleマップ,https://g.co/kgs/RFuipy,幅広い年齢の患者さんいらっしゃるので、どの世代にもおすすめしたい医院さんです。,Googleマップ,https://g.co/kgs/Qe2U5f,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_url3/62580/3.jpg,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_url2/62580/2.jpg,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_url5/62580/5.jpg,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_url1/62580/1.jpg,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_url4/62580/4.jpg,鈴木武久,「矯正治療は、その方の人生を変えるほど大きな力を持っている」当院では、これまでに1000人以上の矯正治療実績がございます。これまで多くの方々の歯列矯正を通して実感していることは、矯正というのは、単に歯を並べるだけではなく、人の人生を根本から変えてしまうほど大きな力を持っているということです。「長年のコンプレックスから解放された!」「自分に自信が持てるようになった!」「人前で大きな口を開けて笑えるようになった!」など、私のクリニックには矯正治療を終えた方々の喜びのメッセージで溢れています。このように、口もとの美しさによって、性格まで前向きになる方が多いのです。 矯正治療を終えた後、一段と魅力的になったあなた自身の姿を発見するはずです。,https://shonan-kyosei.com/greeting/,あり,あり,不明,不明,不明,不明,安城駅南口 徒歩15分,無料駐車場13台,9:00 〜 13:00,15:00 〜19:00,●,●,●,●,●,●,━,━,●,●,●,★,━,━,━,━,★：14:30 〜 18:00,ChIJcbBDq6KZBGARsQlJAhOjTYM,,,shounanshika-kyouseishikaiin,suzukitakehisa,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='22']
<!-- /wp:shortcode -->",,,
1,深津歯科医院,https://fukatsudental.com/,安城,"660,000～","1,210,000～",,,"550,000～",小児矯正,"275,000～",,,,,,,,,,,,,,,先生がとても親切で安心できる医院様です。小児歯科で迷っている方にはおすすめですよ。,Googleマップ,https://g.co/kgs/WgqFdY,話もしっかりと聞いてくれて医院も綺麗なので安心して通うことができるのでおすすめです。,Googleマップ,https://g.co/kgs/XS2ZNc,https://fukatsudental.com/wordpress/wp-content/uploads/2017/08/koshitu_08.jpg,https://fukatsudental.com/wordpress/wp-content/uploads/2017/08/20181019_055623288_iOS-300x225.jpg,https://fukatsudental.com/wordpress/wp-content/uploads/2017/08/consal_08.jpg,https://fukatsudental.com/wordpress/wp-content/uploads/2017/08/gaikan_0822.jpg,https://fukatsudental.com/wordpress/wp-content/uploads/2022/08/1659842883807.jpg,鳥巣隆弘,日本人は誰もが歯並びの悩みを持っているものです。 矯正治療によって予想以上の結果を生み出すことも不可能ではありません。 少しでも気になるようでしたら、是非一度ご相談下さい。 そしてご自身の状態をよく認識して下さい。 お子様から成人まで、状況によって提供させて頂く治療内容も異なります。ご自身の認識は、早期に越したことはありません。当院の矯正治療は、患者様の納得・協力のもとに提供させて頂いております。 歯並びの悩みが少しでも減少する地域を目指して精一杯矯正治療を提供させて頂きます。,https://fukatsudental.com/introduction/,あり,あり,不明,不明,不明,不明,記載なし,記載なし,9:00～12:00,14:00～19:00,●,●,●,●,●,●,━,━,●,●,●,●,━,━,━,━,,ChIJ5fC1JXyaBGARJcuiW7XDiw0,,,fukatsushikaiin,torisutakahiro,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='23']
<!-- /wp:shortcode -->",,,
1,後藤達也矯正歯科,https://gototatsuya.com/,安城,"700,000〜","700,000〜","800,000〜",,,部分矯正,"100,000～",小児矯正,"400,000〜",,,,,,,,,,,,,歯列矯正の種類や期間、 メリットやデメリットについてとても詳しく説明していただいて分かりやすかったです。,EPARK歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/2333101166/tab/7/,待ち時間なくみていただけます。先生も受付の方も感じがよく親切、丁寧です。 院内の香りやいけてあるお花が素敵で清潔感があります。,EPARK歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/2333101166/tab/7/,https://i0.wp.com/gototatsuya.com/wp-content/themes/gototatsuya-pc/images/clinic/clinic-3.png?ssl=1,https://www.kyousei-shika.net/kyousei_html/aichi/gototatsuya_128375/sp/animation/top-photo-04.png,https://www.kyousei-shika.net/kyousei_html/aichi/gototatsuya_128375/sp/animation/top-photo-01.png,https://cdn.job-medley.com/customers/image_files/converted_v1-8a09c8b1-0c91-480d-a863-a183b784f210.jpg,https://prod-df-public.s3.amazonaws.com/uploads/doctordf/img_title_url/62149/20220920_main.jpg,後藤達也,,https://gototatsuya.com/doctor/,あり,あり,不明,不明,不明,不明,三河安城駅北口 徒歩14分,記載なし,9:30～12:30,15:30～18:30,●,●,●,●,━,━,●,●,●,●,●,★,━,━,━,━,★：14:00～17:00,ChIJH3MAfVuZBGARlkljTXuO_Tc,,,gotoutatsuyakyouseishika,gotoutatsuya,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='24']
<!-- /wp:shortcode -->",,,
1,みその歯科矯正歯科,https://misono-dc.com/,安城,"847,000～","847,000～","847,000～",,,小児矯正,"627,000～",,,,,,,,,,,,,,,先生は忙しい中でも、きちんと治療法など説明をしてくださり、選択肢を与えてくれます。衛生士さんや受付の方も優しいです。,Googleマップ,https://g.co/kgs/WHmBVG,感染症対策しっかりしてるので安心して行けます。予約して行くと待ち時間なくすぐ呼ばれるのでいいです。,Googleマップ,https://g.co/kgs/ZH7CCT,https://misono-dc.com/wp-content/themes/res/images/clinic/img_clinic08.jpg,https://misono-dc.com/wp-content/themes/res/images/clinic/img_clinic10.jpg,https://misono-dc.com/wp-content/themes/res/images/clinic/img_clinic06.jpg,https://misono-dc.com/wp-content/themes/res/images/clinic/img_clinic12.jpg,https://misono-dc.com/wp-content/themes/res/images/staff/img_staff01.png,濵子真吉,当院では、小児から御高齢者の方まで幅広く安心して利用できるような医院作りを行っています。むし歯の治療から義歯、歯周病の治療やメンテナンス、小児のフッ素塗布、小児矯正(成人矯正まで)、ホワイトニングなどを包括的に行なわせていただきます。また噛み合わせの相談、顎の不快な症状の相談やセカンドオピニオンなども承っています。一つひとつ治療方針や内容も理解していただくよう説明させていただきます。私自身プライベートでは1児の父であり(もうすぐ2児になる予定です)毎日子育てにも悪戦苦闘しています。毎日子供の朝晩の歯ブラシも行っています。言葉で説明するのとやるのでは訳が違うというのも痛感しています。そういったアドバイスもできたら良いかなと思っています。末永く皆様に親しまれるよう努めてまいります。どんな些細なことでも構いません。こんなことで病院行っていいのだろうか？と悩まないでください。是非当院にご相談ください。,https://misono-dc.com/staff/,あり,あり,あり,不明,不明,不明,東刈谷駅北口 10分,記載なし,9:30～13:00,14:30～19:30,●,●,●,●,●,●,━,━,●,●,●,★,━,━,━,━,★：14:00～16:30／17:00～19:00,ChIJAUh_S6mbBGARQcFTVLd40Iw,,,misonoshikakyouseishika,濵koshinkichi,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='25']
<!-- /wp:shortcode -->",,,
1,オリーブ歯科,https://www.olive-anjo.com/,安城,"580,000～","580,000～","580,000～",,,小児矯正,"280,000～",部分矯正,"179,300～",,,,,,,,,,,,,先生初めとにかくスタッフさんの対応が神レベルで高くとても安心して治療を受けることができます。,Googleマップ,https://g.co/kgs/dQhWVu,先生もスタッフも気遣いがずば抜けており、全員とても優しくて、施術も1つ1つ丁寧にしてくれるため、安心して通えます。,Googleマップ,https://g.co/kgs/KgMPve,https://www.olive-anjo.com/_p/6199/images/pc/fa2e999e.jpg,https://www.olive-anjo.com/_p/6199/images/pc/485a9383.PNG,https://www.olive-anjo.com/_p/6199/images/pc/237eaf46.jpg,https://www.olive-anjo.com/_p/6199/images/pc/dc22e9f0.png,https://www.olive-anjo.com/_p/6199/images/pc/a4cf89af.JPG,加藤剛,こんにちは、院長の加藤　剛です。　痛くて辛い思いをしたり、緊張したり・・歯科医院は非常に負担がかかりますよね。「負担を少しでも減らしたい、笑顔になっていただき少しでも楽しく通院していただきたい！」そんな思いを常に持ちながら診療しています。「患者様と共に笑い・共に歩む」そんな心の温まる歯科医師になりたいと思っています。,https://www.olive-anjo.com/profile,あり,不明,あり,不明,不明,不明,堀内公園駅 徒歩8分,記載なし,9:00～12:30,14:30～17:30,●,●,●,●,●,●,━,━,●,●,★,※,━,━,━,━,★：9:30～12:00　※：14:00～16:30,ChIJbarMXmOXBGARRkhcFuHG5eQ,,,oriibushika,katoutsuyoshi,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='26']
<!-- /wp:shortcode -->",,,
1,大見歯科医院,https://www.omi-dc.com/,安城,,,,,,小児矯正,,,,,,,,,,,,,,,,綺麗で清潔感のある歯医者です。先生も気さくで話しやすく相談しやすいです！,Googleマップ,https://g.co/kgs/G1pf3S,入ってから清潔感もあり、コロナ対策もしっかりしていて安心しました。大見先生は人当たりもよくとても優しく対応していただきました。,Googleマップ,https://g.co/kgs/Ejxjp1,https://www.omi-dc.com/img/pic_slide02.jpg,https://www.omi-dc.com/clinic/img/pic_clinic02.jpg,https://www.omi-dc.com/clinic/img/pic_clinic07.jpg,https://www.omi-dc.com/feature/img/pic_feature06.jpg,https://www.omi-dc.com/staff/img/pic_doctor01.jpg,大見洋平,私は愛知県安城市で生まれ、新田小学校・安城北中学校・安城東高校・朝日大学歯学部を卒業致しました。大学こそ岐阜県で学びましたが、幼少期や青年期では地元の安城市での思い出がたくさん詰まっています。小学校時代には同級生の仲間達と国体のオープニングセレモニーとして一輪車に乗って演技したことを懐かしく覚えています。中学・高校時代には部活動でサッカー部に所属して汗を流していました。また幼少期より習い事として習っていたヤマハのエレクトーンの発表会で、安城市の市民会館や文化センターで緊張していたことも良い思い出として残っております。前院長の大見一成（おおみかずしげ）の二男としてこの安城市に生まれ、父が一代目として築き上げたこの大見歯科医院をなんとか無事に二代目として私が継承できたことを、今まで出会った方々に感謝したいと思っております。微力ではありますが、その恩返しを少しでもこの生まれ育った安城市で精一杯やりたいと思っております。皆様方のお口の健康を守ることを念頭に、地域医療と密着していきたいと思っておりますので、どのようなお悩みやご相談でも気軽にして頂ければ幸いです。,https://www.omi-dc.com/staff/,あり,あり,不明,不明,不明,不明,安城駅 徒歩8分、北安城駅 徒歩1分,無料駐車場あり,9:00〜12:30,14:00〜18:30,●,●,●,●,●,●,━,━,●,●,●,★,━,━,━,━,★：14:00～18:00,ChIJF8axD6mZBGARs0KBxF1GCQA,,,oomishikaiin,oomiyouhei,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='27']
<!-- /wp:shortcode -->",,,
